ntaname,num_fines,Population,fines_per_1000
East Village,1252,42941.0,14.58944084546764
Gramercy,598,27086.0,11.05116860567147
Upper East Side-Carnegie Hill,1302,62435.5,10.430798773675182
Murray Hill-Kips Bay,976,49580.5,9.847983844732298
West Village,1206,67681.5,8.910626620953742
Williamsburg,542,32597.5,8.314365342558519
Jamaica,754,52800.0,7.142468597818503
Fort Greene,328,27207.0,6.038239757355745
East Williamsburg,392,33018.0,5.943240899976479
Parkchester,332,29587.0,5.610923176063402
Belmont,266,26672.5,4.989900292172505
Greenpoint,348,36270.0,4.80614189320716
Brighton Beach,334,35395.5,4.718200322698308
College Point,214,22841.0,4.703096001639935
Forest Hills,756,84387.0,4.479636123585847
Canarsie,704,84375.5,4.172100107703123
Hunts Point,216,26173.0,4.132802698756638
Elmhurst,720,88199.5,4.081682947951042
Rego Park,234,28832.0,4.059588928929466
Prospect Heights,158,19752.0,3.9996914378449175
Kew Gardens,186,23583.0,3.944178353984258
Lower East Side,538,72607.5,3.7049372716500883
Norwood,276,40655.5,3.394428248860846
Bellerose,166,24875.5,3.337529665651531
Mott Haven-Port Morris,328,50721.5,3.2369427990921924
Jackson Heights,700,110739.5,3.162296995028444
Midwood,330,54137.5,3.0495601761098117
Auburndale,120,20098.5,2.985375056299315
Clinton Hill,196,34041.5,2.8802352841123926
Crotona Park East,110,19174.5,2.8779074165438168
Mount Hope,296,52228.0,2.833913172454512
Longwood,136,24639.0,2.770917348862743
Glen Oaks-Floral Park-New Hyde Park,122,22498.5,2.711320018521733
Ridgewood,372,69386.0,2.680658691039572
Ocean Hill,164,31001.0,2.6474790821140335
Madison,202,38996.5,2.589986787659229
Glendale,160,31783.5,2.5182948074279965
East Elmhurst,110,22166.5,2.486115797041293
Corona,272,54870.0,2.4850014217181746
Borough Park,500,103706.0,2.412237180733567
Highbridge,164,35785.5,2.298195572057251
Williamsbridge-Olinville,254,59370.5,2.1414207701152206
New Dorp-Midland Beach,90,21069.0,2.1391351890932286
Far Rockaway-Bayswater,210,49201.0,2.1347506460601022
Maspeth,124,29716.0,2.087931358020205
Kew Gardens Hills,142,36765.5,1.9318858799101988
Pelham Bay-Country Club-City Island,102,26861.5,1.898832263825394
North Corona,182,49596.5,1.8392603641334286
Morningside Heights,200,55068.5,1.8163636766829288
Prospect Lefferts Gardens-Wingate,242,68879.5,1.757438483734612
South Ozone Park,270,77392.0,1.7450341691162987
Bay Ridge,276,79955.0,1.726062944069264
Woodhaven,190,55411.5,1.7153360127171369
Woodside,152,44472.5,1.7092604524188806
Cambria Heights,64,19810.5,1.6206105702781386
Queensboro Hill,64,20054.5,1.5978599059027876
Jamaica Estates-Holliswood,76,25770.5,1.474741635326417
Queens Village,160,55104.0,1.4550395626904788
South Jamaica,104,37037.5,1.407518845452855
Flatbush,292,108339.5,1.3483541092361249
Port Richmond,50,19116.5,1.3119155584838773
East Flushing,70,26749.0,1.308559415847414
Fresh Meadows-Utopia,46,17592.5,1.3075788569962588
Ozone Park,54,21214.0,1.2728186392747471
East Flatbush-Farragut,132,53194.0,1.2442856971901972
Brownsville,146,58699.5,1.2436797841061935
Richmond Hill,156,62983.5,1.238419586784489
Flatlands,162,65744.0,1.2323265331747337
Eastchester-Edenwald-Baychester,84,34969.5,1.2012477628573164
Bath Beach,70,29251.5,1.1971658431921068
Dyker Heights,96,40875.5,1.175974376414369
Baisley Park,82,35166.0,1.1661977914002706
St. Albans,102,49319.5,1.034298173007814
Hollis,38,20508.0,0.9265935656384182
Rosedale,38,25282.5,0.7515646094545846
Laurelton,38,25414.0,0.7486899619601042
Middle Village,34,37779.0,0.4499925355776892
Rikers Island,2,11935.5,0.08420522836474864
