Population,NAME,state,county,tract,county_name
0,"Census Tract 1, New York County, New York",36,061,000100,New York
2012,"Census Tract 2.01, New York County, New York",36,061,000201,New York
7266,"Census Tract 2.02, New York County, New York",36,061,000202,New York
5,"Census Tract 5, New York County, New York",36,061,000500,New York
11616,"Census Tract 6, New York County, New York",36,061,000600,New York
10542,"Census Tract 7, New York County, New York",36,061,000700,New York
10871,"Census Tract 8, New York County, New York",36,061,000800,New York
2016,"Census Tract 9, New York County, New York",36,061,000900,New York
1767,"Census Tract 10.01, New York County, New York",36,061,001001,New York
6300,"Census Tract 10.02, New York County, New York",36,061,001002,New York
3776,"Census Tract 12, New York County, New York",36,061,001200,New York
5402,"Census Tract 13, New York County, New York",36,061,001300,New York
3543,"Census Tract 14.01, New York County, New York",36,061,001401,New York
3418,"Census Tract 14.02, New York County, New York",36,061,001402,New York
8385,"Census Tract 15.01, New York County, New York",36,061,001501,New York
10378,"Census Tract 15.02, New York County, New York",36,061,001502,New York
7698,"Census Tract 16, New York County, New York",36,061,001600,New York
7934,"Census Tract 18, New York County, New York",36,061,001800,New York
4648,"Census Tract 20, New York County, New York",36,061,002000,New York
7811,"Census Tract 21, New York County, New York",36,061,002100,New York
6969,"Census Tract 22.01, New York County, New York",36,061,002201,New York
2488,"Census Tract 22.02, New York County, New York",36,061,002202,New York
4518,"Census Tract 24, New York County, New York",36,061,002400,New York
4630,"Census Tract 25, New York County, New York",36,061,002500,New York
3609,"Census Tract 26.01, New York County, New York",36,061,002601,New York
4816,"Census Tract 26.02, New York County, New York",36,061,002602,New York
1370,"Census Tract 27, New York County, New York",36,061,002700,New York
6819,"Census Tract 28, New York County, New York",36,061,002800,New York
1096,"Census Tract 29.01, New York County, New York",36,061,002901,New York
4359,"Census Tract 29.02, New York County, New York",36,061,002902,New York
4663,"Census Tract 30.01, New York County, New York",36,061,003001,New York
3035,"Census Tract 30.02, New York County, New York",36,061,003002,New York
2989,"Census Tract 31, New York County, New York",36,061,003100,New York
8372,"Census Tract 32, New York County, New York",36,061,003200,New York
6458,"Census Tract 33, New York County, New York",36,061,003300,New York
7012,"Census Tract 34, New York County, New York",36,061,003400,New York
3513,"Census Tract 36.01, New York County, New York",36,061,003601,New York
3000,"Census Tract 36.02, New York County, New York",36,061,003602,New York
3092,"Census Tract 37, New York County, New York",36,061,003700,New York
9070,"Census Tract 38, New York County, New York",36,061,003800,New York
7036,"Census Tract 39, New York County, New York",36,061,003900,New York
3743,"Census Tract 40.01, New York County, New York",36,061,004001,New York
5090,"Census Tract 40.02, New York County, New York",36,061,004002,New York
7523,"Census Tract 41, New York County, New York",36,061,004100,New York
5216,"Census Tract 42, New York County, New York",36,061,004200,New York
4158,"Census Tract 43, New York County, New York",36,061,004300,New York
17222,"Census Tract 44, New York County, New York",36,061,004400,New York
1093,"Census Tract 45, New York County, New York",36,061,004500,New York
2644,"Census Tract 47, New York County, New York",36,061,004700,New York
6955,"Census Tract 48, New York County, New York",36,061,004800,New York
4777,"Census Tract 49, New York County, New York",36,061,004900,New York
5223,"Census Tract 50, New York County, New York",36,061,005000,New York
3808,"Census Tract 52, New York County, New York",36,061,005200,New York
4909,"Census Tract 54, New York County, New York",36,061,005400,New York
4564,"Census Tract 55.01, New York County, New York",36,061,005501,New York
1956,"Census Tract 55.02, New York County, New York",36,061,005502,New York
4281,"Census Tract 56, New York County, New York",36,061,005600,New York
2998,"Census Tract 57, New York County, New York",36,061,005700,New York
5109,"Census Tract 58, New York County, New York",36,061,005800,New York
5707,"Census Tract 59, New York County, New York",36,061,005900,New York
5290,"Census Tract 60, New York County, New York",36,061,006000,New York
5494,"Census Tract 61, New York County, New York",36,061,006100,New York
3686,"Census Tract 62, New York County, New York",36,061,006200,New York
6707,"Census Tract 63, New York County, New York",36,061,006300,New York
8744,"Census Tract 64, New York County, New York",36,061,006400,New York
6721,"Census Tract 65, New York County, New York",36,061,006500,New York
12341,"Census Tract 66, New York County, New York",36,061,006600,New York
5547,"Census Tract 67, New York County, New York",36,061,006700,New York
7706,"Census Tract 68, New York County, New York",36,061,006800,New York
