summons_number,plate_id,registration_state,plate_type,issue_date,violation_code,vehicle_body_type,vehicle_make,issuing_agency,street_code1,street_code2,street_code3,vehicle_expiration_date,violation_location,violation_precinct,issuer_precinct,issuer_code,issuer_command,issuer_squad,violation_time,violation_county,street_name,intersecting_street,date_first_observed,law_section,sub_division,days_parking_in_effect,from_hours_in_effect,to_hours_in_effect,vehicle_color,unregistered_vehicle,vehicle_year,meter_number,feet_from_curb,violation_in_front_of_or_opposite,house_number,time_first_observed,violation_description,violation_legal_code,violation_post_code,lat,lon
9062682560,KYF9156,NY,PAS,2023-07-12T00:00:00.000,31,SUBN,FORD,T,27800,17590,17610,20250221.0,14.0,14,14,361376,T102,E,0900A,NY,Park Ave South,,0,408,L3,YYYYY,0700A,0700P,GY,,2022,,0,F,443,,31-No Stand (Com. Mtr. Zone),,10,40.744644,-73.9828901
9064421754,755AMP,NY,ORG,2023-07-06T00:00:00.000,71,4DSD,HONDA,T,21590,0,0,20241024.0,106.0,106,106,368559,T402,E,0308P,Q,124th St,30ft S/of 107th Ave,0,408,J6,YYYYYYY,,,BK,,2016,,0,I,W,,71A-Insp Sticker Expired (NYS),,39,40.8061117,-73.9436577
9061964866,HSD4125,NY,PAS,2023-07-18T00:00:00.000,21,SUBN,CHEVR,T,18510,10210,10110,20250630.0,19.0,19,19,352009,T103,E,0927A,NY,E 76th St,,0,408,D1,Y  Y,0900A,1030A,BK,,2013,,0,O,221,,21-No Parking (street clean),,46,40.7720578,-73.9575416
8568887417,84365MJ,NY,COM,2023-07-17T00:00:00.000,20,VAN,FORD,T,19470,27790,24890,20241231.0,25.0,25,25,375378,T103,B,1200P,NY,E 126th St,,0,408,D,YYYYY,1000A,0700P,WH,,2016,,0,F,107,,20-No Parking (Com Plate),,05,40.8054329,-73.9373611
8897540971,ADP4132,NY,PAS,2023-07-06T00:00:00.000,37,SUBN,HONDA,T,24890,17570,17590,20250124.0,17.0,17,17,374548,T102,M,1245P,NY,Lexington Ave,,0,408,H1,YYYYYY,0800A,0700P,BL,,2008,104735,0,O,139,1237P,37-Expired Parking Meter,,25,40.7433028,-73.9817009
9067230522,79789MK,NY,COM,2023-07-20T00:00:00.000,37,VAN,FORD,T,35190,14510,15710,20240430.0,20.0,20,20,363143,T103,Q,0238P,NY,W 71st St,,20230720,408,H1,YYYYYY,0900A,0700P,WH,,2018,109448,0,O,75,0218P,37-Expired Parking Meter,,31,40.776723,-73.9790235
1492241600,KWF2821,NY,PAS,2023-05-28T00:00:00.000,14,SUBN,LEXUS,P,25390,19590,10485,20240717.0,26.0,26,32,975434,0032,0.0,1037P,NY,MADISON AVE,,0,408,C,BBBBBBB,ALL,ALL,GRY,0.0,2015,-,0,F,2150,,,,,40.811948,-73.9365777
9064371106,KWT5456,NY,PAS,2023-07-06T00:00:00.000,71,SUBN,CHEVR,T,35490,14510,15710,20240608.0,24.0,24,24,362283,T103,AA,0837A,NY,W 86th St,,0,408,J6,YYYYYYY,,,GY,,2016,,0,F,5,,71A-Insp Sticker Expired (NYS),,19,40.7857789,-73.9698259
8938026139,KGJ3247,NY,PAS,2023-07-07T00:00:00.000,14,SUBN,TOYOT,T,18210,10010,45590,20250312.0,19.0,19,19,367860,MTTF,E,0436P,NY,E 61st St,,0,408,C,YYYYYYY,,,WH,,2022,,0,F,425,,14-No Standing,,06,40.760412,-73.9592319
1487850104,KZF5787,NY,PAS,2023-07-20T00:00:00.000,67,SDN,HONDA,P,27450,52120,0,20250305.0,52.0,52,52,975696,0052,0000,1006P,,193,MORRIS AVE,0,408,E2,BBBBBBB,ALL,ALL,,0.0,0,-,0,,,1000P,,,,55.4929398,9.4697938
9072544730,KEB4332,NC,PAS,2023-08-22T00:00:00.000,17,4DSD,HYUND,T,32595,0,0,20238888.0,26.0,26,26,373655,T103,BB,0630A,NY,Tiemann Pl,10ft W/of Broadway,0,408,C4,YYYYYYY,,,BROWN,,0,,0,I,S,,17-No Stand (exc auth veh),,H,40.8155309,-73.9596992
1440301591,LBK8971,NY,PAS,2023-06-11T00:00:00.000,20,SUBN,TOYOT,P,30190,37630,28390,20260411.0,34.0,34,34,974317,0034,0000,0203A,NY,SEAMAN AVE,,0,408,D,BBBBBBB,ALL,ALL,GY,0.0,2023,-,0,F,112,,,,,40.8687363,-73.9241119
2013350624,HFB6486,NY,PAS,2023-08-01T00:00:00.000,21,4DSD,CHEVR,S,65320,10920,26550,20240226.0,41.0,41,0,0,BX02,,0810A,Bronx,SOUTHERN BOULEVARD,,0,408,d1,,0800A,0830A,GY,,0,,0,F,932,00000,No Parking Street Cleaning,,,40.8201245,-73.8919408
9061677191,FP199437,IL,PAS,2023-07-05T00:00:00.000,31,SUBN,FORD,T,10210,18650,18670,88888888.0,19.0,19,19,370286,T103,Q,0439P,NY,3rd Ave,,0,408,L3,YYYYY,0900A,0700P,BLUE,,0,,0,O,1474,,31-No Stand (Com. Mtr. Zone),,06,40.7771988,-73.9554503
9066616933,DJ93401,IL,PAS,2023-07-21T00:00:00.000,31,SUBN,BMW,T,34730,10410,29900,20238888.0,18.0,18,18,353143,T106,P,1231P,NY,W 48th St,,0,408,L3,YYYYY,0700A,0600P,GREY,,0,,0,O,2,,31-No Stand (Com. Mtr. Zone),,02,40.7573963,-73.9786668
8897543388,63360MA,NY,COM,2023-07-21T00:00:00.000,69,PICK,CHEVR,T,34270,13610,10510,20250630.0,13.0,13,13,374548,T102,M,0137P,NY,W 25th St,,0,408,H1,YYYYY,0800A,0600P,BK,,2020,106017,0,F,28,,69-Fail to Dsp Prking Mtr Rcpt,,99,40.7433712,-73.9905004
9072778169,LAV3044,NY,PAS,2023-08-17T00:00:00.000,14,CONV,BMW,T,21230,21350,45440,20250320.0,1.0,1,1,351929,T105,G,0800P,NY,Fulton St,,0,408,C,YYYYYYY,,,BK,,2001,,0,F,88,,14-No Standing,,080,40.7091175,-74.0057833
9064014346,3566439,IN,PAS,2023-07-25T00:00:00.000,46,DELV,FRUEH,T,21705,40404,40404,88888888.0,9.0,9,9,376244,T105,D,0953A,NY,Great Jones St,,0,408,F1,YYYYYYY,,,WHITE,,0,,0,O,684,,46B-Double Parking (Com-100Ft),,016,40.7274491,-73.9939461
8913276409,KTX9306,NY,PAS,2023-07-13T00:00:00.000,31,4DSD,NISSA,T,17650,24890,10210,20240216.0,17.0,17,17,373181,T102,R,1219P,NY,E 33rd St,,0,408,L3,YYYYY,0800A,0600P,GY,,2017,,0,F,155,,31-No Stand (Com. Mtr. Zone),,99,40.7455679,-73.9793678
