violation_county,street_name,house_number,full_address,lat,lon
K,Broadway,290,"290 Broadway, K, NYC",40.708435,-73.958444
Q,Lefferts Blvd,E,"E Lefferts Blvd, Q, NYC",40.683983,-73.823065
K,LENOX RD,489,"489 LENOX RD, K, NYC",40.65472,-73.94253
NY,E 18th St,30,"30 E 18th St, NY, NYC",40.737522,-73.989711
K,Atlantic Ave,320,"320 Atlantic Ave, K, NYC",40.688021,-73.9882
Q,80th St,40-12,"40-12 80th St, Q, NYC",40.746994,-73.885905
BX,LACOMBS AVE,1715,"1715 LACOMBS AVE, BX, NYC",40.815198,-73.86671
K,Hancock St,209,"209 Hancock St, K, NYC",40.683,-73.947743
Q,JUDGE ST,43-20,"43-20 JUDGE ST, Q, NYC",40.743259,-73.878688
NY,Rutgers St,38-48,"38-48 Rutgers St, NY, NYC",40.712264,-73.990199
Kings,RIDGE BOULEVARD,9410,"9410 RIDGE BOULEVARD, Kings, NYC",40.618401,-74.036368
BX,University Ave,1633,"1633 University Ave, BX, NYC",40.848422,-73.918831
Q,27th St,40-03,"40-03 27th St, Q, NYC",40.752847,-73.937212
NY,Pitt St,47,"47 Pitt St, NY, NYC",40.717401,-73.98314
Q,46th Rd,N,"N 46th Rd, Q, NYC",40.755769,-73.774903
BX,Park Ave,E,"E Park Ave, BX, NYC",40.888681,-73.874501
K,Grant Ave,86,"86 Grant Ave, K, NYC",40.68903,-73.86871
NY,Waverly Pl,17,"17 Waverly Pl, NY, NYC",40.730242,-73.994366
NY,Lexington Ave,1234,"1234 Lexington Ave, NY, NYC",40.77779,-73.957008
Q,164th St,88-45,"88-45 164th St, Q, NYC",40.707739,-73.797231
Q,ASTORIA BLVD N,38-25,"38-25 ASTORIA BLVD N, Q, NYC",40.769599,-73.91046
K,Dekalb Ave,901,"901 Dekalb Ave, K, NYC",40.692764,-73.940615
K,Broadway,260,"260 Broadway, K, NYC",40.708766,-73.959533
BX,Boston Rd,1351,"1351 Boston Rd, BX, NYC",40.832275,-73.899038
Q,108th St,59-14,"59-14 108th St, Q, NYC",40.738934,-73.852939
Bronx,EAST 138 STREET,900,"900 EAST 138 STREET, Bronx, NYC",40.802317,-73.908325
BX,Walton Ave,2026,"2026 Walton Ave, BX, NYC",40.852815,-73.906802
K,BRADFORD ST,678,"678 BRADFORD ST, K, NYC",40.662079,-73.889213
K,Brighton 3rd St,W,"W Brighton 3rd St, K, NYC",40.579223,-73.964995
Q,Main St,69-09,"69-09 Main St, Q, NYC",40.730684,-73.823877
NY,Essex St,64-66,"64-66 Essex St, NY, NYC",40.717373,-73.988469
NY,E 45th St,S,"S E 45th St, NY, NYC",40.752795,-73.973279
Q,2nd St,5627,"5627 2nd St, Q, NYC",40.73866,-73.96065
K,Putnam Ave,745,"745 Putnam Ave, K, NYC",40.686336,-73.931748
Q,Jamaica Ave,108-09,"108-09 Jamaica Ave, Q, NYC",40.695815,-73.839369
K,Front St,180,"180 Front St, K, NYC",40.702175,-73.985443
K,Hancock St,184,"184 Hancock St, K, NYC",40.682509,-73.948449
K,9th Ave,3917,"3917 9th Ave, K, NYC",40.645478,-73.995382
Q,34th Ave,108-03,"108-03 34th Ave, Q, NYC",40.756512,-73.860492
Q,164th St,E,"E 164th St, Q, NYC",40.827988,-73.915886
Q,133rd Ave,17210,"17210 133rd Ave, Q, NYC",40.675299,-73.76925
NY,E 67th St,245,"245 E 67th St, NY, NYC",40.765851,-73.961273
K,62nd St,2154,"2154 62nd St, K, NYC",40.615929,-73.98064
Q,81st Ave,123,"123 81st Ave, Q, NYC",40.71168,-73.831603
BX,Cyrus Pl,458,"458 Cyrus Pl, BX, NYC",40.858438,-73.891653
K,Court St,441,"441 Court St, K, NYC",40.678093,-73.997697
Q,Fresh Pond Rd,6312,"6312 Fresh Pond Rd, Q, NYC",40.711479,-73.90026
NY,E 20th St,541,"541 E 20th St, NY, NYC",40.733638,-73.975629
NY,2nd Ave,2246,"2246 2nd Ave, NY, NYC",40.796467,-73.937848
K,Lenox Rd,553,"553 Lenox Rd, K, NYC",40.65497,-73.940008
Q,76th Ave,N,"N 76th Ave, Q, NYC",40.752787,-73.707452
K,Avenue S,W,"W Avenue S, K, NYC",40.837029,-73.861395
NY,Broadway,3305,"3305 Broadway, NY, NYC",40.818961,-73.956044
Q,Hillside Ave,250-18,"250-18 Hillside Ave, Q, NYC",40.73537,-73.71671
BX,E 138th St,804,"804 E 138th St, BX, NYC",40.80361,-73.91029
NY,E 21st St,301,"301 E 21st St, NY, NYC",40.736549,-73.981442
K,Crescent St,896,"896 Crescent St, K, NYC",40.665546,-73.867841
K,CHURCH AVE,4816,"4816 CHURCH AVE, K, NYC",40.651469,-73.931723
K,Kings Hwy,1420,"1420 Kings Hwy, K, NYC",40.608499,-73.958548
Q,Abingdon Rd,85-33,"85-33 Abingdon Rd, Q, NYC",40.706197,-73.827972
Q,Cypress Ave,E,"E Cypress Ave, Q, NYC",40.697592,-73.90193
K,Johnson Ave,183,"183 Johnson Ave, K, NYC",40.706728,-73.94266
K,Hale Ave,210,"210 Hale Ave, K, NYC",40.679988,-73.880107
NY,Broadway,E,"E Broadway, NY, NYC",40.71404,-73.99038
NY,Avenue A,44,"44 Avenue A, NY, NYC",40.72378,-73.985
K,Stuyvesant Ave,300,"300 Stuyvesant Ave, K, NYC",40.684666,-73.932656
K,Stockholm St,S,"S Stockholm St, K, NYC",40.702115,-73.920217
K,Van Sicklen St,20,"20 Van Sicklen St, K, NYC",40.603912,-73.974274
K,Nostrand Ave,1280,"1280 Nostrand Ave, K, NYC",40.655859,-73.95036
BX,Union Ave,680,"680 Union Ave, BX, NYC",40.815951,-73.90392
K,Union St,1254,"1254 Union St, K, NYC",40.66876,-73.94895
NY,E 8th St,63,"63 E 8th St, NY, NYC",40.728175,-73.986179
Bronx,GRAND CONCOURSE,273,"273 GRAND CONCOURSE, Bronx, NYC",40.855141,-73.901631
NY,E 60 ST,321,"321 E 60 ST, NY, NYC",40.76091,-73.962547
R,ELDER AVENUE,905,"905 ELDER AVENUE, R, NYC",40.821889,-73.877809
NY,E 19th St,S,"S E 19th St, NY, NYC",40.736844,-73.986036
Qns,SUTPHIN BOULEVARD,114-44,"114-44 SUTPHIN BOULEVARD, Qns, NYC",40.6851,-73.793277
NY,W 105th St,248,"248 W 105th St, NY, NYC",40.800561,-73.968358
Q,Jericho Tpke,N,"N Jericho Tpke, Q, NYC",40.689514,-73.76438
BX,W 225th St,49,"49 W 225th St, BX, NYC",40.874028,-73.907751
NY,W 99th St,200,"200 W 99th St, NY, NYC",40.79602,-73.969291
Q,29th St,30-06,"30-06 29th St, Q, NYC",40.767482,-73.923261
